parish,address,city,state,zip,postal
Holy Name,3814 Nash Blvd,San Antonio,TX,78223,3499
Mission Concepcion,807 Mission Rd,San Antonio,TX,78210,
Mission San Francisco de la Espada,10040 Espada Rd,San Antonio,TX,78214,
Mission San Jose y San Miguel,701 E Pyron Ave,San Antonio,TX,78214,2762
Mission San Juan Capistrano,9101 Graf Rd,San Antonio,TX,78214,
Our Lady of Perpetual Help,618 S Grimes,San Antonio,TX,78203,2144
Saint Benedict,4535 Lord Rd,San Antonio,TX,78220,
Saint Cecilia,125 W Whittier St,San Antonio,TX,78210,
Saint Gerard,1523 Iowa St,San Antonio,TX,78203,1800
Saint Jerome,7955 Real Road,San Antonio,TX,78263,
Saint Margaret Mary,1314 Fair Ave,San Antonio,TX,78223,
Saint Michael,418 Indiana,San Antonio,TX,78210,
Senyor Santo Nino de Cebu,5655 Rigsby Ave,San Antonio,TX,78222,
